"","throughput","touch_time","total_batches","total_models","avg_models_batch","total_time_batching","avg_time_batching","total_size","total_reports","total_sys_time_processing","avg_sys_time_processing","throughput_rate","throughput_efficiency","avg_size_model","avg_size_batch"
"throughput",1,0.908872953947619,0.773270352504853,0.996377086405093,0.137789011002362,0.986262523635331,0.124001192172256,0.99186297753794,0.78753433507888,0.369452150240073,-0.302520514360134,-0.672285719179236,0.107365811925113,0.346402811388569,0.187567487732315
"touch_time",0.908872953947619,1,0.499613356238618,0.894873898730695,0.416883670002933,0.944696283155659,0.412499457105753,0.90735272605803,0.500188341146632,0.261580528681856,-0.236562804693394,-0.608556842488782,-0.233238605336014,0.445561007213947,0.406706787048603
"total_batches",0.773270352504853,0.499613356238618,1,0.803091228122043,-0.408109914818481,0.697634516675546,-0.430978828160131,0.78058899154771,0.984971480274325,0.278242636897035,-0.446791831833534,-0.65785623147343,0.303591733123985,0.0809809611509682,-0.358053877703957
"total_models",0.996377086405093,0.894873898730695,0.803091228122043,1,0.106210191636569,0.982681513978584,0.0918966585202296,0.994778064587848,0.815899799308778,0.362181324693976,-0.317821344172314,-0.72323870624145,0.109824499158209,0.339778998501344,0.155364031036337
"avg_models_batch",0.137789011002362,0.416883670002933,-0.408109914818481,0.106210191636569,1,0.22162288601255,0.990159761667824,0.159748593693509,-0.426379196144418,-0.0589888179873524,0.35283665084238,-0.0150426953184276,-0.462984889681465,0.649237862207691,0.808004987283854
"total_time_batching",0.986262523635331,0.944696283155659,0.697634516675546,0.982681513978584,0.22162288601255,1,0.223174400758574,0.986136517953465,0.718796886542634,0.345301004911877,-0.281108125048542,-0.688910907995233,0.0160806338016815,0.393762467520794,0.288504217891786
"avg_time_batching",0.124001192172256,0.412499457105753,-0.430978828160131,0.0918966585202296,0.990159761667824,0.223174400758574,1,0.150258279222216,-0.436809180453087,-0.0639180088923158,0.35929443494676,0.00876062186769038,-0.499030141990164,0.658055703069807,0.848784503194837
"total_size",0.99186297753794,0.90735272605803,0.78058899154771,0.994778064587848,0.159748593693509,0.986136517953465,0.150258279222216,1,0.79094534314532,0.364617480403321,-0.280610860087222,-0.709225352195713,0.0547701223894558,0.427447377912519,0.210899398085331
"total_reports",0.78753433507888,0.500188341146632,0.984971480274325,0.815899799308778,-0.426379196144418,0.718796886542634,-0.436809180453087,0.79094534314532,1,0.335422831387979,-0.407931316496042,-0.635177003613956,0.354473129148141,0.0507736637705184,-0.296218199464739
"total_sys_time_processing",0.369452150240073,0.261580528681856,0.278242636897035,0.362181324693976,-0.0589888179873524,0.345301004911877,-0.0639180088923158,0.364617480403321,0.335422831387979,1,0.561771698147568,-0.0791276340846706,0.303135784048607,0.117946941523821,0.0606542469443643
"avg_sys_time_processing",-0.302520514360134,-0.236562804693394,-0.446791831833534,-0.317821344172314,0.35283665084238,-0.281108125048542,0.35929443494676,-0.280610860087222,-0.407931316496042,0.561771698147568,1,0.428005400020682,-0.0429330264920063,0.256907494733449,0.304184012927111
"throughput_rate",-0.672285719179236,-0.608556842488782,-0.65785623147343,-0.72323870624145,-0.0150426953184276,-0.688910907995233,0.00876062186769038,-0.709225352195713,-0.635177003613956,-0.0791276340846706,0.428005400020682,1,-0.0545741814350716,-0.165553068777544,0.0568904354654101
"throughput_efficiency",0.107365811925113,-0.233238605336014,0.303591733123985,0.109824499158209,-0.462984889681465,0.0160806338016815,-0.499030141990164,0.0547701223894558,0.354473129148141,0.303135784048607,-0.0429330264920063,-0.0545741814350716,1,-0.375236922874754,-0.351531143635532
"avg_size_model",0.346402811388569,0.445561007213947,0.0809809611509682,0.339778998501344,0.649237862207691,0.393762467520794,0.658055703069807,0.427447377912519,0.0507736637705184,0.117946941523821,0.256907494733449,-0.165553068777544,-0.375236922874754,1,0.601092015435531
"avg_size_batch",0.187567487732315,0.406706787048603,-0.358053877703957,0.155364031036337,0.808004987283854,0.288504217891786,0.848784503194837,0.210899398085331,-0.296218199464739,0.0606542469443643,0.304184012927111,0.0568904354654101,-0.351531143635532,0.601092015435531,1
