"","x"
"1","batch_sheet_5Q2C_2600_2019_05_16_1"
"2","batch_sheet_5Q2C_2600_2019_05_16_2"
"3","batch_sheet_6aDs_2600_2019_05_13_1"
"4","batch_sheet_6aDs_2600_2019_05_13_2"
"5","batch_sheet_98NA_2600_2019_05_20_1"
"6","batch_sheet_98NA_2600_2019_05_20_2"
"7","batch_sheet_aFcI_2600_2019_05_22_2"
"8","batch_sheet_aFcI_2600_2019_05_22_1"
"9","batch_sheet_anJ9_2600_2019_05_20_2"
"10","batch_sheet_anJ9_2600_2019_05_20_1"
"11","batch_sheet_aS9i_2600_2019_05_29_1"
"12","batch_sheet_aS9i_2600_2019_05_29_2"
"13","batch_sheet_ATCk_2600_2019_05_11_1"
"14","batch_sheet_ATCk_2600_2019_05_11_2"
"15","batch_sheet_az7X_1000_2019_05_09_1"
"16","batch_sheet_az7X_1000_2019_05_09_2"
"17","batch_sheet_az7X_1000_2019_05_09_3"
"18","batch_sheet_az7X_1000_2019_05_09_4"
"19","batch_sheet_az7X_1000_2019_05_09_5"
"20","batch_sheet_c5zi_2600_2019_05_11_2"
"21","batch_sheet_c5zi_2600_2019_05_11_1"
"22","batch_sheet_cpkD_2600_2019_05_15_2"
"23","batch_sheet_cpkD_2600_2019_05_15_1"
"24","batch_sheet_dCAQ_2600_2019_05_13_2"
"25","batch_sheet_dCAQ_2600_2019_05_13_1"
"26","batch_sheet_DGAH_2600_2019_05_16_1"
"27","batch_sheet_DGAH_2600_2019_05_16_2"
"28","batch_sheet_DJUL_2600_2019_05_19_2"
"29","batch_sheet_DJUL_2600_2019_05_19_1"
"30","batch_sheet_Fwig_2600_2019_05_17_1"
"31","batch_sheet_Fwig_2600_2019_05_17_2"
"32","batch_sheet_G6BL_2600_2019_05_14_1"
"33","batch_sheet_G6BL_2600_2019_05_14_2"
"34","batch_sheet_HROt_2600_2019_05_24_1"
"35","batch_sheet_HROt_2600_2019_05_24_2"
"36","batch_sheet_Hs7g_1000_2019_05_09_1"
"37","batch_sheet_Hs7g_1000_2019_05_09_2"
"38","batch_sheet_Hs7g_1000_2019_05_09_3"
"39","batch_sheet_Hs7g_1000_2019_05_09_4"
"40","batch_sheet_Hs7g_1000_2019_05_09_5"
"41","batch_sheet_HU6A_2600_2019_05_25_1"
"42","batch_sheet_HU6A_2600_2019_05_25_2"
"43","batch_sheet_HU6A_2600_2019_05_26_1"
"44","batch_sheet_HU6A_2600_2019_05_26_2"
"45","batch_sheet_HU6A_2600_2019_05_27_2"
"46","batch_sheet_HU6A_2600_2019_05_27_1"
"47","batch_sheet_HU6A_2600_2019_05_28_1"
"48","batch_sheet_HU6A_2600_2019_05_28_2"
"49","batch_sheet_HU6A_2600_2019_05_29_1"
"50","batch_sheet_HU6A_2600_2019_05_29_2"
"51","batch_sheet_HU6A_2600_2019_05_30_1"
"52","batch_sheet_HU6A_2600_2019_05_30_2"
"53","batch_sheet_hXcC_2721_2019_05_31_1"
"54","batch_sheet_hXcC_2721_2019_05_31_2"
"55","batch_sheet_hXcC_2721_2019_05_31_3"
"56","batch_sheet_jPni_2600_2019_05_23_2"
"57","batch_sheet_jPni_2600_2019_05_23_1"
"58","batch_sheet_kUnE_1000_2019_05_09"
"59","batch_sheet_kUnE_1000_2019_05_09_4"
"60","batch_sheet_l1p8_5200_2019_05_08_1"
"61","batch_sheet_l1p8_5200_2019_05_08_7"
"62","batch_sheet_LIAF_2600_2019_05_15_1"
"63","batch_sheet_LIAF_2600_2019_05_15_2"
"64","batch_sheet_lTMj_5_2019_05_28_1"
"65","batch_sheet_pPH7_2600_2019_05_23_2"
"66","batch_sheet_pPH7_2600_2019_05_23_1"
"67","batch_sheet_S4e7_2600_2019_05_21_2"
"68","batch_sheet_S4e7_2600_2019_05_21_1"
"69","batch_sheet_SwiG_2600_2019_05_24_2"
"70","batch_sheet_SwiG_2600_2019_05_24_1"
"71","batch_sheet_sXzu_2600_2019_05_13_1"
"72","batch_sheet_sXzu_2600_2019_05_13_2"
"73","batch_sheet_u41P_2600_2019_05_21_1"
"74","batch_sheet_u41P_2600_2019_05_21_2"
"75","batch_sheet_ucKd_2600_2019_05_14_2"
"76","batch_sheet_ucKd_2600_2019_05_14_1"
"77","batch_sheet_UogN_2600_2019_05_17_2"
"78","batch_sheet_UogN_2600_2019_05_17_1"
"79","batch_sheet_W8nb_2600_2019_05_19_2"
"80","batch_sheet_W8nb_2600_2019_05_19_1"
"81","batch_sheet_xggR_2600_2019_05_18_1"
"82","batch_sheet_xggR_2600_2019_05_18_2"
"83","batch_sheet_Y3xL_2600_2019_05_14_2"
"84","batch_sheet_Y3xL_2600_2019_05_14_1"
"85","batch_sheet_YkfC_5200_2019_05_09_1"
"86","batch_sheet_YkfC_5200_2019_05_09_2"
"87","batch_sheet_YkfC_5200_2019_05_09_3"
"88","batch_sheet_YkfC_5200_2019_05_09_4"
"89","batch_sheet_YpUO_2600_2019_05_22_1"
"90","batch_sheet_YpUO_2600_2019_05_22_2"
"91","batch_sheet_zeC0_2600_2019_05_25_1"
"92","batch_sheet_zeC0_2600_2019_05_25_2"
"93","batch_sheet_zeC0_2600_2019_05_26_1"
"94","batch_sheet_zeC0_2600_2019_05_26_2"
"95","batch_sheet_zeC0_2600_2019_05_27_2"
"96","batch_sheet_zeC0_2600_2019_05_27_1"
"97","batch_sheet_zeC0_2600_2019_05_28_1"
"98","batch_sheet_zeC0_2600_2019_05_28_2"
"99","batch_sheet_zeC0_2600_2019_05_29_1"
